Float representation
Function: 1 | Xmin: [-0.2957554595840124, 0.1722129495303193]                                                                                          | F(X)=  2.397097 | f_count = 10000
Function: 1 | Xmin: [-0.1499768449491773, 0.14652640311102405]                                                                                         | F(X)=  2.860874 | f_count = 10000
Function: 1 | Xmin: [1.551714021326469, 2.4568583747947876]                                                                                            | F(X)=  0.544900 | f_count = 10000
Function: 1 | Xmin: [3.0055836683442223, 9.145406105810464]                                                                                            | F(X)=  5.273921 | f_count = 10000
Function: 1 | Xmin: [0.6599688740634901, 0.3888497736217005]                                                                                           | F(X)=  0.333796 | f_count = 10000
Function: 1 | Xmin: [-1.5023990689666995, 2.5126594955254906]                                                                                          | F(X)= 12.787805 | f_count = 10000
Function: 1 | Xmin: [0.9388727295208084, 1.0538900132057734]                                                                                           | F(X)=  2.976189 | f_count = 10000
Function: 1 | Xmin: [1.2507240490058547, 1.4008133788797466]                                                                                           | F(X)=  2.735998 | f_count = 10000
Function: 1 | Xmin: [1.4320879134630644, 2.255362985798933]                                                                                            | F(X)=  4.368201 | f_count = 10000
Function: 1 | Xmin: [2.0363857065004076, 4.0583553674017026]                                                                                           | F(X)=  1.857522 | f_count = 10000
Function: 1 | Xmin: [0.7356907790478653, 0.5487296355006279]                                                                                           | F(X)=  0.075467 | f_count = 10000
Function: 1 | Xmin: [0.31037278220144504, -0.1892099668632774]                                                                                         | F(X)=  8.628965 | f_count = 10000
Function: 1 | Xmin: [-0.38935190370268824, 0.22429990435127678]                                                                                        | F(X)=  2.458900 | f_count = 10000
Function: 1 | Xmin: [0.8043883466267188, 0.6551682959373863]                                                                                           | F(X)=  0.044870 | f_count = 10000
Function: 1 | Xmin: [1.6229211165329194, 2.3950832595633713]                                                                                           | F(X)=  6.090082 | f_count = 10000
Function: 1 | Xmin: [1.2647777660975086, 1.5429402491274367]                                                                                           | F(X)=  0.391852 | f_count = 10000
Function: 1 | Xmin: [-0.8031976309570137, 0.7598311726479711]                                                                                          | F(X)=  4.567239 | f_count = 10000
Function: 1 | Xmin: [2.71851467009021, 7.462236183017067]                                                                                              | F(X)=  3.470457 | f_count = 10000
Function: 1 | Xmin: [1.1502852071233471, 1.0806612456488303]                                                                                           | F(X)=  5.902959 | f_count = 10000
Function: 1 | Xmin: [0.9726405340697042, 0.9410322338826881]                                                                                           | F(X)=  0.003246 | f_count = 10000
