Float representation
Function: 6 | Xmin: [-0.00027622110525804544]                                                                                                          | F(X)=  0.000000 | f_count =  574
Function: 6 | Xmin: [0.0011524900025384494]                                                                                                            | F(X)=  0.000001 | f_count = 10000
Function: 6 | Xmin: [-0.0005511911358143395]                                                                                                           | F(X)=  0.000000 | f_count = 5467
Function: 6 | Xmin: [-0.0009580011182421799]                                                                                                           | F(X)=  0.000001 | f_count = 1850
Function: 6 | Xmin: [0.0005228906245739462]                                                                                                            | F(X)=  0.000000 | f_count = 4433
Function: 6 | Xmin: [0.0056163664998436155]                                                                                                            | F(X)=  0.000032 | f_count = 10000
Function: 6 | Xmin: [-0.00029406920065586095]                                                                                                          | F(X)=  0.000000 | f_count = 2175
Function: 6 | Xmin: [0.0002657909859796852]                                                                                                            | F(X)=  0.000000 | f_count = 6734
Function: 6 | Xmin: [0.0009458393058515962]                                                                                                            | F(X)=  0.000001 | f_count = 2925
Function: 6 | Xmin: [0.0007065513526921295]                                                                                                            | F(X)=  0.000000 | f_count = 4410
Binary representation
Function: 6 | Xmin: [-0.0005722067726452451]                                                                                                           | F(X)=  0.000000 | f_count = 1233
Function: 6 | Xmin: [-0.0005722067726452451]                                                                                                           | F(X)=  0.000000 | f_count = 1304
Function: 6 | Xmin: [-0.0005722067726452451]                                                                                                           | F(X)=  0.000000 | f_count =  581
Function: 6 | Xmin: [0.000953677954399268]                                                                                                             | F(X)=  0.000001 | f_count = 1230
Function: 6 | Xmin: [-0.0005722067726452451]                                                                                                           | F(X)=  0.000000 | f_count =  785
Function: 6 | Xmin: [0.00019073559087701142]                                                                                                           | F(X)=  0.000000 | f_count =  777
Function: 6 | Xmin: [-0.0005722067726452451]                                                                                                           | F(X)=  0.000000 | f_count = 1050
Function: 6 | Xmin: [-0.0005722067726452451]                                                                                                           | F(X)=  0.000000 | f_count =  954
Function: 6 | Xmin: [-0.0005722067726452451]                                                                                                           | F(X)=  0.000000 | f_count =  824
Function: 6 | Xmin: [0.00019073559087701142]                                                                                                           | F(X)=  0.000000 | f_count =  515
Float representation
Function: 6 | Xmin: [3.6771374608757723, 0.45897144934414147, -5.038642513902064]                                                                      | F(X)=  0.037696 | f_count = 10000
Function: 6 | Xmin: [2.3564680760593024, -1.2356734604905864, 1.4430075954023796]                                                                      | F(X)=  0.021899 | f_count = 10000
Function: 6 | Xmin: [1.9977172430597427, -5.185685491920837, -3.1508377638879956]                                                                      | F(X)=  0.048597 | f_count = 10000
Function: 6 | Xmin: [2.574435847824596, -1.5388960376447134, 0.10644922059329431]                                                                      | F(X)=  0.028118 | f_count = 10000
Function: 6 | Xmin: [1.077046975419094, -3.1711953679863463, 0.8401208621671898]                                                                       | F(X)=  0.103320 | f_count = 10000
Function: 6 | Xmin: [0.6670920818257604, -1.702293524346782, -2.6699759620043757]                                                                      | F(X)=  0.019009 | f_count = 10000
Function: 6 | Xmin: [-2.846130870605819, 0.13826791450789244, -1.3022004761305883]                                                                     | F(X)=  0.009746 | f_count = 10000
Function: 6 | Xmin: [-2.321751312324059, -1.7055424051999601, 1.209931493596845]                                                                       | F(X)=  0.009904 | f_count = 10000
Function: 6 | Xmin: [5.383060851668523, 0.2607164681644649, -3.116398799326566]                                                                        | F(X)=  0.039692 | f_count = 10000
Function: 6 | Xmin: [-0.9341618278562915, -2.8934621320695335, 1.2499292543158531]                                                                     | F(X)=  0.031300 | f_count = 10000
Binary representation
Function: 6 | Xmin: [2.382096794497656, -0.017356938770063834, 2.0433503850951524]                                                                     | F(X)=  0.009716 | f_count = 10000
Function: 6 | Xmin: [1.7389363820510155, -0.7581739737471551, 2.5003528608431225]                                                                      | F(X)=  0.009716 | f_count = 10000
Function: 6 | Xmin: [-0.7947952071960742, -2.8051483350690276, -0.8970294839076445]                                                                    | F(X)=  0.017310 | f_count = 10000
Function: 6 | Xmin: [2.923022930232733, -1.015285550253111, -0.5247136105102967]                                                                       | F(X)=  0.009716 | f_count = 10000
Function: 6 | Xmin: [-2.947818557047114, -1.058773264973702, -0.19512250947002485]                                                                     | F(X)=  0.009716 | f_count = 10000
Function: 6 | Xmin: [1.2140320359498418, 0.2283105022831009, -2.8852572832385377]                                                                      | F(X)=  0.009716 | f_count = 10000
Function: 6 | Xmin: [1.8991542783900357, 1.9373013965659922, 1.577955543348473]                                                                        | F(X)=  0.009716 | f_count = 10000
Function: 6 | Xmin: [-1.9407346372018353, 0.044441392674990254, 2.466020454484763]                                                                     | F(X)=  0.009716 | f_count = 10000
Function: 6 | Xmin: [-2.9821509634054735, -0.7352857028415798, -0.645258503946323]                                                                     | F(X)=  0.009716 | f_count = 10000
Function: 6 | Xmin: [2.437028644671038, 1.624495027523146, 1.1270566065086598]                                                                         | F(X)=  0.009716 | f_count = 10000
Float representation
Function: 6 | Xmin: [1.5424826212648366, 6.032380073066994, 22.386731483160347, 2.1540120774746185, -18.282128875571903, -10.379744237322695]          | F(X)=  0.373312 | f_count = 10000
Function: 6 | Xmin: [-4.459810874626589, 15.786634186513314, -14.071108174812888, -10.402462565284756, -4.930951470457048, -5.293770876990282]         | F(X)=  0.313662 | f_count = 10000
Function: 6 | Xmin: [19.0009415977053, 0.07120520150197351, 13.49537912482642, -6.477783534731477, -4.258102589185384, 4.502293835757155]              | F(X)=  0.320197 | f_count = 10000
Function: 6 | Xmin: [-14.512009252835462, -2.6926203538986693, -6.734013556996718, 4.386875857673807, 0.6077659435230256, -7.751581140446557]          | F(X)=  0.281680 | f_count = 10000
Function: 6 | Xmin: [-25.02921102610907, 2.360996262824081, 1.3451079167775077, -7.272483314126467, -1.5052808435695841, -10.003884241101398]          | F(X)=  0.354226 | f_count = 10000
Function: 6 | Xmin: [23.954941326264137, -8.139878387219682, 5.0939385532549455, 13.331369803477621, -3.166383115451925, 12.166847827911354]           | F(X)=  0.388842 | f_count = 10000
Function: 6 | Xmin: [-11.812196037955907, -6.168235854905101, 10.812731725716677, -10.366719953154512, 0.3410175815677281, 9.095837204827841]          | F(X)=  0.273544 | f_count = 10000
Function: 6 | Xmin: [5.554309566796886, 9.369293310522586, -1.8679822362768732, -2.6333144732532494, -5.50469388730404, -8.884232029965716]            | F(X)=  0.220772 | f_count = 10000
Function: 6 | Xmin: [0.24280648883415878, 2.6481358119673226, -5.973624014650652, 6.889092560974266, -6.803231357469333, -5.767827565788182]           | F(X)=  0.280440 | f_count = 10000
Function: 6 | Xmin: [3.6432178026413844, 5.174955568156427, -1.3014045058329309, -8.422764728091778, 11.135578904809737, 0.025765362314402296]         | F(X)=  0.239022 | f_count = 10000
Binary representation
Function: 6 | Xmin: [1.1323972030532943, 2.0685274830912874, -0.8306534982814782, -1.094631556059099, 1.5680372926227264, 0.12760211029857516]         | F(X)=  0.009853 | f_count = 10000
Function: 6 | Xmin: [-1.098446267876696, -1.2609529913062758, 0.8302720270997099, 2.3622602930461625, -0.3271115383588352, 0.7249859809340649]         | F(X)=  0.010290 | f_count = 10000
Function: 6 | Xmin: [-0.9847678557123416, -0.48809237706137765, 4.03310406915309, 1.9159390103874543, 2.9314152962314424, 3.0977367314786193]          | F(X)=  0.037252 | f_count = 10000
Function: 6 | Xmin: [-0.6231331754042699, 2.448472780123822, -0.5811713454107164, -2.023132412461905, 5.397245015125328, -0.21495901092152536]         | F(X)=  0.039239 | f_count = 10000
Function: 6 | Xmin: [3.6356110977596146, -0.20732958728633122, -3.2499437330006913, 0.9988822894374394, 1.994522073829927, -3.346837413167627]         | F(X)=  0.039303 | f_count = 10000
Function: 6 | Xmin: [1.1453672232331158, 0.11463209011874653, -1.72939960250703, -0.8741412130020692, 2.161606451440626, 0.24585817664404175]          | F(X)=  0.009750 | f_count = 10000
Function: 6 | Xmin: [1.6588274338815054, 0.03833785376683352, -0.38967281216740446, -0.3759398496240607, -2.5877097614660727, -0.5559942474145814]     | F(X)=  0.010718 | f_count = 10000
Function: 6 | Xmin: [-5.138989025074103, 0.06885554830760299, -3.3331044506242833, -1.399808501466758, -0.1874930858348307, -0.26378732218675083]      | F(X)=  0.037425 | f_count = 10000
Function: 6 | Xmin: [-0.9977378758921702, -2.0719607237271305, -0.07762938548807341, -3.07446698939129, 3.750052452287491, -3.2690172920886695]        | F(X)=  0.037276 | f_count = 10000
Function: 6 | Xmin: [0.9798087303494611, 1.0309258687052463, 0.14972743884062822, 2.1883094341637914, -1.243405316945335, -1.1922881785895498]         | F(X)=  0.009775 | f_count = 10000
Float representation
Function: 6 | Xmin: [-4.648595032250548, -17.351287260418957, -37.436815917751396, -12.383512739879501, 33.979991051071934, 10.330509736313534, -0.7361847579795775, -2.6262245810849407, 1.1921033571955866, 1.983292040189732] | F(X)=  0.480155 | f_count = 10000
Function: 6 | Xmin: [-3.452624107246602, 2.283681845791314, -1.7659751994975608, -20.526421199623723, -27.946014603373154, 6.369238869540148, 30.311101970814082, 21.10533273558063, 17.391845573625268, 15.952727684675093] | F(X)=  0.472248 | f_count = 10000
Function: 6 | Xmin: [-5.813214063864315, -13.432426013800717, 48.12405225039588, 12.911137960898998, 0.6507285752996363, 28.95408619672745, -3.8857724988084144, -19.39607136576653, 9.790893735602967, -17.69976638200628] | F(X)=  0.482983 | f_count = 10000
Function: 6 | Xmin: [3.6030693211307394, -19.24298183827283, 7.098455538718682, -16.832088086936057, -50, -6.04144636495325, 3.8955437140094062, 0.34592640651582585, -25.77621913252343, -3.6042989868354356] | F(X)=  0.479570 | f_count = 10000
Function: 6 | Xmin: [5.934043846624739, -13.498284539016026, -27.801015264743782, -7.598660613719529, -18.32229544735765, 40.49457113874598, 17.366971337240273, -13.012247972953958, -19.502458592053717, -6.318256255288716] | F(X)=  0.482114 | f_count = 10000
Function: 6 | Xmin: [3.7897998830978405, -7.693245063202216, 6.807232548591113, 0.819169305861017, 14.61303850426124, -5.066303488389526, 9.65906397317147, 26.39404477912207, -36.43468283250938, -7.710076211806874] | F(X)=  0.460815 | f_count = 10000
Function: 6 | Xmin: [9.269239134728998, -8.562013375574665, -5.190577165204163, -1.987037844933738, 44.84487505123739, -19.47111664546079, -8.004261739294252, -17.446269853382873, 1.80589248015103, -14.70622213967256] | F(X)=  0.475060 | f_count = 10000
Function: 6 | Xmin: [17.17719643977265, -15.798011143112316, 17.23725265557745, 10.936743102978335, 10.086007161083884, 0.1412509596227789, 0.550840241147398, 14.16625181363898, 5.316397989683072, 19.13954427269679] | F(X)=  0.431086 | f_count = 10000
