Max iterations: 100
Function: 6 | Xmin: [-29.77637389913732, -8.02104790646787, -8.950216084098052, -30.43302022132497]                                                    | F(X)=  0.450296 | f_count =  100
Function: 6 | Xmin: [25.594270512709855, 12.8596605585387, -19.886097853707245, 35.748141168661675]                                                    | F(X)=  0.467505 | f_count =  100
Function: 6 | Xmin: [15.075318422536242, 3.1301270958737675, -9.820929567280736, 53.72455109622423]                                                    | F(X)=  0.474029 | f_count =  100
Function: 6 | Xmin: [-9.526042712231977, -14.754660012559896, 0.025296223304863474, -23.00804758455638]                                                | F(X)=  0.466345 | f_count =  100
Function: 6 | Xmin: [-18.346542782579256, -11.713662131987235, 12.457218878232347, 14.275929199531717]                                                 | F(X)=  0.441589 | f_count =  100
Function: 6 | Xmin: [2.7864707882265023, -24.193465325100576, -13.02297736309879, -3.7993210789304186]                                                 | F(X)=  0.389118 | f_count =  100
Function: 6 | Xmin: [-46.68941501186244, -32.84460703664163, -42.63783798900074, -33.729819322746195]                                                  | F(X)=  0.491979 | f_count =  100
Function: 6 | Xmin: [-4.54442717763289, 34.86274951112247, -24.955546834729592, -10.479145278523099]                                                   | F(X)=  0.459446 | f_count =  100
Function: 6 | Xmin: [5.475761297271234, -1.8455092954138905, 21.940002786830902, 10.029513104608377]                                                   | F(X)=  0.347826 | f_count =  100
Function: 6 | Xmin: [-26.54045893691012, 7.589081568280008, 32.856980732431765, 37.653392626472765]                                                    | F(X)=  0.487109 | f_count =  100
Function: 6 | Xmin: [9.288055770767478, 32.971083217894986, -8.917204705779099, -12.234112345597545]                                                   | F(X)=  0.423856 | f_count =  100
Function: 6 | Xmin: [37.04704620697318, -30.06094935462444, -29.627218068703684, 5.662753898026416]                                                    | F(X)=  0.472082 | f_count =  100
Function: 6 | Xmin: [5.0186079622831485, 4.849773933171342, 2.5861129645388985, 39.94986073639967]                                                     | F(X)=  0.434682 | f_count =  100
Function: 6 | Xmin: [-17.363723451482507, -42.46434806077388, 20.584807674793097, -1.8184432117668194]                                                 | F(X)=  0.460124 | f_count =  100
Function: 6 | Xmin: [4.631873160423616, 1.677472966289109, -2.486322637222507, -21.146652382652498]                                                    | F(X)=  0.279465 | f_count =  100
Function: 6 | Xmin: [-31.597605513384586, -4.924371206460577, 7.168129524292723, -24.966037257212285]                                                  | F(X)=  0.448164 | f_count =  100
Function: 6 | Xmin: [-14.922475511977495, 36.41577996420611, -29.57119877711383, -10.161888228443615]                                                  | F(X)=  0.459795 | f_count =  100
Function: 6 | Xmin: [23.9229554762628, 17.082437077730688, -27.51253963114721, 0.6760838871402228]                                                     | F(X)=  0.469972 | f_count =  100
Function: 6 | Xmin: [-46.48339828713644, -28.918094922786853, 30.74616361961347, 7.783449011655577]                                                    | F(X)=  0.487161 | f_count =  100
Function: 6 | Xmin: [-2.521969090446987, -18.879398765277273, -35.868542608519846, -39.231485954039556]                                                | F(X)=  0.471884 | f_count =  100
Max iterations: 1000
Function: 6 | Xmin: [1.0780023693212009, 13.51567353659986, 9.89253794023395, -9.076081063681574]                                                      | F(X)=  0.259489 | f_count = 1000
Function: 6 | Xmin: [7.1977888096756, -3.0610814385802456, -5.32748953222729, -19.769272694240904]                                                     | F(X)=  0.274308 | f_count = 1000
Function: 6 | Xmin: [0.6798128666885055, -7.045413626941414, -1.025019674480923, 9.97193806350667]                                                     | F(X)=  0.186104 | f_count = 1000
Function: 6 | Xmin: [-4.32574955260732, 7.256153705670222, 11.61969262108451, 12.52968908771949]                                                       | F(X)=  0.255009 | f_count = 1000
Function: 6 | Xmin: [-3.3335594530620174, 4.079723432091784, 4.506369540906491, 6.361687570872267]                                                     | F(X)=  0.078228 | f_count = 1000
Function: 6 | Xmin: [-5.351426768983252, -8.102587748807785, 13.071948562597548, 9.10685496657132]                                                     | F(X)=  0.244936 | f_count = 1000
Function: 6 | Xmin: [6.195010378367826, 2.6280644735108023, -22.8555517833189, -8.942316086718698]                                                     | F(X)=  0.351339 | f_count = 1000
Function: 6 | Xmin: [-9.742336150329663, -1.284862177306259, -1.819873723923557, -12.520009288792274]                                                  | F(X)=  0.242890 | f_count = 1000
Function: 6 | Xmin: [-6.68810856916873, -13.135143375077192, 4.009188073322088, -5.466609717076558]                                                    | F(X)=  0.339279 | f_count = 1000
Function: 6 | Xmin: [0.3524066698106125, -1.620364961798174, -1.1583095351741477, -15.385706608632375]                                                 | F(X)=  0.198377 | f_count = 1000
Function: 6 | Xmin: [-0.8339727501569527, -4.101152670354228, 16.674442634397067, -13.538605577571445]                                                 | F(X)=  0.276747 | f_count = 1000
Function: 6 | Xmin: [-1.583076278246061, 4.2090674443566485, -7.41231794944666, 8.661774950873827]                                                     | F(X)=  0.192890 | f_count = 1000
Function: 6 | Xmin: [-10.922132838269619, -16.75410125122545, 6.423272314530223, 6.329169346195146]                                                    | F(X)=  0.273384 | f_count = 1000
Function: 6 | Xmin: [3.805949118589936, -7.359007529739152, -0.7397416781147328, -9.772472273098117]                                                   | F(X)=  0.182623 | f_count = 1000
Function: 6 | Xmin: [7.994687123223631, -23.032333954306914, 18.773656164928227, -15.496862997233976]                                                  | F(X)=  0.397740 | f_count = 1000
Function: 6 | Xmin: [17.536100166368556, 0.13887888854927866, 6.1168938240498605, 2.069593462750177]                                                   | F(X)=  0.239589 | f_count = 1000
Function: 6 | Xmin: [6.145930063551631, 17.410189759831745, 14.39206795940504, 9.129904138039286]                                                      | F(X)=  0.312139 | f_count = 1000
Function: 6 | Xmin: [-4.754330994763848, 4.600741672869525, 2.7679694976661224, 17.655595615194144]                                                    | F(X)=  0.253651 | f_count = 1000
Function: 6 | Xmin: [-6.646332749315398, -5.959215694422177, -24.871942876478105, -9.833843413464784]                                                  | F(X)=  0.346728 | f_count = 1000
Function: 6 | Xmin: [-7.308176664436658, -7.432440487118001, -5.174710833888454, -4.151894641825983]                                                   | F(X)=  0.156549 | f_count = 1000
Max iterations: 10000
Function: 6 | Xmin: [-1.1572515468935904, 1.3061823685453486, 6.9038633079237055, -10.156482671852842]                                                 | F(X)=  0.144049 | f_count = 10000
Function: 6 | Xmin: [1.7540224809753795, 1.6190775008571165, 1.8314608723930732, -0.9385828679003083]                                                  | F(X)=  0.009887 | f_count = 10000
Function: 6 | Xmin: [-1.7360696987522068, -8.168632114448966, 3.544471426382195, 2.599523844340368]                                                    | F(X)=  0.078565 | f_count = 10000
Function: 6 | Xmin: [-2.580143251487378, 0.03378392876813052, -1.7781981364241304, 0.11560922413311658]                                                | F(X)=  0.009723 | f_count = 10000
Function: 6 | Xmin: [-8.806025261632449, -0.22924107493129497, -2.399211234938072, 0.8691322939859365]                                                 | F(X)=  0.128139 | f_count = 10000
