"Time","Length","Info"
"0.252927","1506","Application Data"
"0.252930","1506","443  >  50638 [ACK] Seq=1453 Ack=1439 Win=335 Len=1452 [TCP segment of a reassembled PDU]"
"0.252933","1506","443  >  50638 [ACK] Seq=2905 Ack=1439 Win=335 Len=1452 [TCP segment of a reassembled PDU]"
"0.253575","1506","443  >  50638 [ACK] Seq=4357 Ack=1439 Win=335 Len=1452 [TCP segment of a reassembled PDU]"
"0.253577","1506","443  >  50638 [ACK] Seq=5809 Ack=1439 Win=335 Len=1452 [TCP segment of a reassembled PDU]"
"0.255588","1506","443  >  50638 [ACK] Seq=7261 Ack=1439 Win=335 Len=1452 [TCP segment of a reassembled PDU]"
"0.255591","1506","443  >  50638 [ACK] Seq=8713 Ack=1439 Win=335 Len=1452 [TCP segment of a reassembled PDU]"
"0.255592","1506","443  >  50638 [ACK] Seq=10165 Ack=1439 Win=335 Len=1452 [TCP segment of a reassembled PDU]"
"0.255594","1506","443  >  50638 [ACK] Seq=11617 Ack=1439 Win=335 Len=1452 [TCP segment of a reassembled PDU]"
"0.255596","1506","443  >  50638 [ACK] Seq=13069 Ack=1439 Win=335 Len=1452 [TCP segment of a reassembled PDU]"
"0.255597","1506","443  >  50638 [ACK] Seq=14521 Ack=1439 Win=335 Len=1452 [TCP segment of a reassembled PDU]"
"0.255599","1506","443  >  50638 [ACK] Seq=15973 Ack=1439 Win=335 Len=1452 [TCP segment of a reassembled PDU]"
"0.256870","1506","Application Data [TCP segment of a reassembled PDU]"
"0.256871","1506","443  >  50638 [ACK] Seq=18877 Ack=1439 Win=335 Len=1452 [TCP segment of a reassembled PDU]"
"0.256872","1506","443  >  50638 [ACK] Seq=20329 Ack=1439 Win=335 Len=1452 [TCP segment of a reassembled PDU]"
"0.256874","1506","443  >  50638 [ACK] Seq=21781 Ack=1439 Win=335 Len=1452 [TCP segment of a reassembled PDU]"
"0.256875","1506","443  >  50638 [ACK] Seq=23233 Ack=1439 Win=335 Len=1452 [TCP segment of a reassembled PDU]"
"0.256876","1506","443  >  50638 [ACK] Seq=24685 Ack=1439 Win=335 Len=1452 [TCP segment of a reassembled PDU]"
"0.256877","1506","443  >  50638 [ACK] Seq=26137 Ack=1439 Win=335 Len=1452 [TCP segment of a reassembled PDU]"
"0.258199","1506","443  >  50638 [ACK] Seq=27589 Ack=1439 Win=335 Len=1452 [TCP segment of a reassembled PDU]"
"0.258200","1506","443  >  50638 [ACK] Seq=29041 Ack=1439 Win=335 Len=1452 [TCP segment of a reassembled PDU]"
"0.258201","1506","443  >  50638 [ACK] Seq=30493 Ack=1439 Win=335 Len=1452 [TCP segment of a reassembled PDU]"
"0.261321","1506","443  >  50638 [ACK] Seq=31945 Ack=1439 Win=335 Len=1452 [TCP segment of a reassembled PDU]"
"0.261322","508","443  >  50638 [PSH, ACK] Seq=33397 Ack=1439 Win=335 Len=454 [TCP segment of a reassembled PDU]"
"0.262819","1506","Application Data [TCP segment of a reassembled PDU]"
"0.262822","1506","443  >  50638 [ACK] Seq=35303 Ack=1439 Win=335 Len=1452 [TCP segment of a reassembled PDU]"
"0.262828","1506","443  >  50638 [ACK] Seq=36755 Ack=1439 Win=335 Len=1452 [TCP segment of a reassembled PDU]"
"0.262830","1506","443  >  50638 [ACK] Seq=38207 Ack=1439 Win=335 Len=1452 [TCP segment of a reassembled PDU]"
"0.262832","1506","443  >  50638 [ACK] Seq=39659 Ack=1439 Win=335 Len=1452 [TCP segment of a reassembled PDU]"
"0.263667","1506","443  >  50638 [ACK] Seq=41111 Ack=1439 Win=335 Len=1452 [TCP segment of a reassembled PDU]"
"0.263672","1506","443  >  50638 [ACK] Seq=42563 Ack=1439 Win=335 Len=1452 [TCP segment of a reassembled PDU]"
"0.263676","1506","443  >  50638 [ACK] Seq=44015 Ack=1439 Win=335 Len=1452 [TCP segment of a reassembled PDU]"
"0.264718","1506","443  >  50638 [ACK] Seq=45467 Ack=1439 Win=335 Len=1452 [TCP segment of a reassembled PDU]"
"0.264720","1506","[TCP Previous segment not captured] , Ignored Unknown Record"
"0.264721","1506","Ignored Unknown Record"
"0.264722","1506","Ignored Unknown Record"
"0.264723","1506","Ignored Unknown Record"
"0.264724","1506","Ignored Unknown Record"
"0.264726","966","Ignored Unknown Record"
"0.265609","1506","443  >  50638 [ACK] Seq=66707 Ack=1439 Win=335 Len=1452 [TCP segment of a reassembled PDU]"
"0.266761","1506","443  >  50638 [ACK] Seq=68159 Ack=1439 Win=335 Len=1452 [TCP segment of a reassembled PDU]"
"0.266768","1506","443  >  50638 [ACK] Seq=69611 Ack=1439 Win=335 Len=1452 [TCP segment of a reassembled PDU]"
"0.266771","1506","443  >  50638 [ACK] Seq=71063 Ack=1439 Win=335 Len=1452 [TCP segment of a reassembled PDU]"
"0.266777","1506","443  >  50638 [ACK] Seq=72515 Ack=1439 Win=335 Len=1452 [TCP segment of a reassembled PDU]"
"0.266783","1506","443  >  50638 [ACK] Seq=73967 Ack=1439 Win=335 Len=1452 [TCP segment of a reassembled PDU]"
"0.266786","1506","443  >  50638 [ACK] Seq=75419 Ack=1439 Win=335 Len=1452 [TCP segment of a reassembled PDU]"
"0.266791","1506","443  >  50638 [ACK] Seq=76871 Ack=1439 Win=335 Len=1452 [TCP segment of a reassembled PDU]"
"0.268613","1506","443  >  50638 [ACK] Seq=78323 Ack=1439 Win=335 Len=1452 [TCP segment of a reassembled PDU]"
"0.268614","1506","443  >  50638 [ACK] Seq=79775 Ack=1439 Win=335 Len=1452 [TCP segment of a reassembled PDU]"
"0.268615","1506","443  >  50638 [ACK] Seq=81227 Ack=1439 Win=335 Len=1452 [TCP segment of a reassembled PDU]"
