"Time","Length","Info"
"0.047846","89","Application Data"
"0.085616","54","443  >  51591 [ACK] Seq=36 Ack=682 Win=64400 Len=0"
"0.244499","54","443  >  51591 [ACK] Seq=36 Ack=1384 Win=64400 Len=0"
"0.253410","89","Application Data"
"0.254354","89","Application Data"
"0.295572","222","Application Data"
"0.297953","822","Application Data"
"0.297954","1294","Application Data"
"0.297957","1294","Application Data"
"0.298206","1294","Application Data"
"0.299543","1434","Application Data"
"0.301288","1154","Application Data"
"0.301521","1434","Application Data"
"0.303068","1434","Application Data [TCP segment of a reassembled PDU]"
"0.307328","1434","Application Data [TCP segment of a reassembled PDU]"
"0.307329","1434","Application Data [TCP segment of a reassembled PDU]"
"0.307330","1434","Application Data [TCP segment of a reassembled PDU]"
"0.307332","1434","Application Data [TCP segment of a reassembled PDU]"
"0.307333","759","Application Data, Application Data"
"0.342734","89","Application Data"
"0.354001","54","443  >  51591 [ACK] Seq=16262 Ack=4426 Win=64400 Len=0"
"0.354002","54","443  >  51591 [ACK] Seq=16262 Ack=5849 Win=64400 Len=0"
"0.358210","54","443  >  51591 [ACK] Seq=16262 Ack=7236 Win=64400 Len=0"
"0.358211","89","Application Data"
"0.358212","89","Application Data"
"0.370045","54","443  >  51591 [ACK] Seq=16332 Ack=9234 Win=64400 Len=0"
"0.370046","54","443  >  51591 [ACK] Seq=16332 Ack=10657 Win=64400 Len=0"
"0.381637","199","Application Data"
"0.381638","198","Application Data"
"0.397612","198","Application Data"
"0.454348","1289","Application Data"
"0.454350","372","Application Data"
"0.454351","1287","Application Data"
"0.454351","1292","Application Data"
"0.454354","1292","Application Data"
"0.457780","1434","Application Data"
"0.457789","1150","Application Data"
"0.458941","1434","Application Data"
"0.458955","1434","Application Data [TCP segment of a reassembled PDU]"
"0.459168","1434","Application Data [TCP segment of a reassembled PDU]"
"0.459171","1434","Application Data [TCP segment of a reassembled PDU]"
"0.462784","1434","Application Data [TCP segment of a reassembled PDU]"
"0.462785","1434","Application Data [TCP segment of a reassembled PDU]"
"0.462786","1434","Application Data [TCP segment of a reassembled PDU]"
"0.462789","1434","Application Data [TCP segment of a reassembled PDU]"
"0.470975","1434","Application Data, Application Data"
"0.470977","1434","Application Data [TCP segment of a reassembled PDU]"
"0.474023","1434","Application Data, Application Data"
"0.474026","1434","Application Data [TCP segment of a reassembled PDU]"
"0.474026","1434","Application Data [TCP segment of a reassembled PDU]"
"0.474027","1434","Application Data [TCP segment of a reassembled PDU]"
"0.474028","1434","Application Data [TCP segment of a reassembled PDU]"
"0.474028","1434","Application Data [TCP segment of a reassembled PDU]"
"0.474029","1434","Application Data [TCP segment of a reassembled PDU]"
"0.474030","1434","Application Data [TCP segment of a reassembled PDU]"
"0.474030","1434","Application Data, Application Data"
"0.474031","276","Application Data"
"0.498549","1282","Application Data"
"0.498552","1292","Application Data"
"0.504276","1434","Application Data"
"0.504279","1150","Application Data"
"0.504280","1434","Application Data"
"0.504280","1434","Application Data [TCP segment of a reassembled PDU]"
"0.504281","1434","Application Data [TCP segment of a reassembled PDU]"
"0.504282","1434","Application Data [TCP segment of a reassembled PDU]"
"0.511365","1434","Application Data [TCP segment of a reassembled PDU]"
"0.511367","1249","Application Data, Application Data"
"0.526160","1283","Application Data"
"0.526162","391","Application Data"
"0.534631","488","Application Data"
"0.576618","750","Application Data"
"0.650654","1282","Application Data"
"0.650656","1106","Application Data"
"0.678257","1289","Application Data"
"0.678493","1292","Application Data"
"0.678711","1063","Application Data"
"0.816168","89","Application Data"
"0.867822","265","Application Data"
"1.051794","1282","Application Data"
"1.051796","783","Application Data"
"1.095300","1289","Application Data"
"1.098613","1292","Application Data"
"1.098779","1292","Application Data"
"1.098983","1292","Application Data"
"1.099983","1434","Application Data"
"1.100104","1150","Application Data"
"1.102002","1434","Application Data"
"1.102133","1434","Application Data [TCP segment of a reassembled PDU]"
"1.108303","1434","Application Data [TCP segment of a reassembled PDU]"
"1.108309","96","Application Data"
"1.108310","319","Application Data"
"1.231792","1289","Application Data"
"1.235707","100","Application Data"
"1.256241","1287","Application Data"
"1.256249","1292","Application Data"
"1.256253","1292","Application Data"
"1.256268","1434","Application Data"
"1.256272","1150","Application Data"
"1.256276","1434","Application Data"
"1.256281","1434","Application Data [TCP segment of a reassembled PDU]"
"1.259824","1434","Application Data [TCP segment of a reassembled PDU]"
"1.259825","1434","Application Data [TCP segment of a reassembled PDU]"
"1.259826","1434","Application Data [TCP segment of a reassembled PDU]"
"1.259827","1434","Application Data [TCP segment of a reassembled PDU]"
"1.259827","1434","Application Data [TCP segment of a reassembled PDU]"
"1.259828","1434","Application Data [TCP segment of a reassembled PDU]"
"1.269074","1434","Application Data, Application Data"
"1.269075","1434","Application Data [TCP segment of a reassembled PDU]"
"1.269076","1434","Application Data [TCP segment of a reassembled PDU]"
"1.269077","1434","Application Data [TCP segment of a reassembled PDU]"
"1.269078","1434","Application Data [TCP segment of a reassembled PDU]"
"1.269078","1434","Application Data [TCP segment of a reassembled PDU]"
"1.269079","1434","Application Data [TCP segment of a reassembled PDU]"
"1.269079","1434","Application Data [TCP segment of a reassembled PDU]"
"1.269327","1434","Application Data [TCP segment of a reassembled PDU]"
"1.279198","1434","Application Data, Application Data"
"1.279199","162","Application Data"
"1.692174","89","Application Data"
"1.740448","1259","Application Data"
"1.744187","732","Application Data"
"1.895520","1284","Application Data"
"1.898554","1294","Application Data"
"1.898558","1294","Application Data"
"1.899896","1294","Application Data"
"1.899897","1434","Application Data"
"1.899898","1154","Application Data"
"1.902796","1434","Application Data"
"1.902797","470","Application Data"
"1.950369","173","Application Data"
"2.042176","1284","Application Data"
"2.042179","1294","Application Data"
"2.042180","1294","Application Data"
"2.042181","1294","Application Data"
"2.042182","1434","Application Data"
"2.042183","1152","Application Data"
"2.042184","1434","Application Data"
"2.042184","1434","Application Data [TCP segment of a reassembled PDU]"
"2.045660","1434","Application Data [TCP segment of a reassembled PDU]"
"2.045891","1434","Application Data [TCP segment of a reassembled PDU]"
"2.046157","1434","Application Data [TCP segment of a reassembled PDU]"
"2.046430","1434","Application Data [TCP segment of a reassembled PDU]"
"2.047436","1434","Application Data, Application Data"
"2.049245","819","Application Data, Application Data, Application Data"
"3.042778","89","Application Data"
"3.094719","54","443  >  51591 [ACK] Seq=148080 Ack=12395 Win=64400 Len=0"
"3.098786","1200","Application Data"
"3.098787","1294","Application Data"
"3.098788","976","Application Data"
"3.597555","54","443  >  51591 [FIN, ACK] Seq=151388 Ack=12396 Win=64400 Len=0"
"4.467781","66","443  >  51603 [SYN, ACK] Seq=0 Ack=1 Win=28000 Len=0 MSS=1380 SACK_PERM=1 WS=256"
"4.508233","54","443  >  51603 [ACK] Seq=1 Ack=518 Win=29184 Len=0"
"4.508238","1434","Server Hello, Change Cipher Spec, Application Data"
"4.508241","966","Application Data"
"4.545632","225","Application Data"
"4.549393","128","Application Data"
"4.549394","85","Application Data"
"4.550454","89","Application Data"
"4.612773","54","443  >  51603 [ACK] Seq=2604 Ack=1813 Win=31488 Len=0"
"4.686457","54","443  >  51603 [ACK] Seq=2604 Ack=2048 Win=33536 Len=0"
"4.690957","89","Application Data"
"4.697784","54","443  >  51603 [ACK] Seq=2639 Ack=4931 Win=39424 Len=0"
"4.697785","54","443  >  51603 [ACK] Seq=2639 Ack=7143 Win=43776 Len=0"
"4.777133","89","Application Data"
"4.785495","1434","443  >  51603 [ACK] Seq=2674 Ack=7709 Win=46592 Len=1380 [TCP segment of a reassembled PDU]"
"4.785496","188","Application Data"
"4.786115","1294","Application Data"
"4.786116","1294","Application Data"
"4.786117","1294","Application Data"
"4.786285","1294","Application Data"
"4.786553","1294","Application Data"
"4.793209","1294","Application Data"
"4.793212","1294","Application Data"
"4.815466","965","Application Data"
"4.836829","1351","Application Data"
"4.837055","1294","Application Data"
"4.840010","1294","Application Data"
"4.840011","1294","Application Data"
"4.844168","1434","Application Data"
"4.860468","1154","Application Data"
"4.860479","1434","Application Data"
"4.867217","1434","Application Data [TCP segment of a reassembled PDU]"
"4.867218","1434","Application Data [TCP segment of a reassembled PDU]"
"4.867218","564","Application Data"
"5.060666","1260","Application Data"
"5.060667","1294","Application Data"
"5.060670","1294","Application Data"
"5.063514","1294","Application Data"
"5.063515","1434","Application Data"
"5.068867","1154","Application Data"
"5.068869","1434","Application Data"
"5.070062","1434","Application Data [TCP segment of a reassembled PDU]"
"5.070066","1434","Application Data [TCP segment of a reassembled PDU]"
"5.070066","1434","Application Data [TCP segment of a reassembled PDU]"
"5.071207","1434","Application Data [TCP segment of a reassembled PDU]"
"5.071209","1434","Application Data [TCP segment of a reassembled PDU]"
"5.071209","1434","Application Data [TCP segment of a reassembled PDU]"
"5.076993","1434","Application Data [TCP segment of a reassembled PDU]"
"5.077001","1434","Application Data, Application Data"
"5.077006","1434","Application Data [TCP segment of a reassembled PDU]"
"5.077012","1434","Application Data [TCP segment of a reassembled PDU]"
"5.077016","1434","Application Data [TCP segment of a reassembled PDU]"
"5.078202","1434","Application Data [TCP segment of a reassembled PDU]"
"5.081725","1434","Application Data [TCP segment of a reassembled PDU]"
"5.086590","1434","Application Data [TCP segment of a reassembled PDU]"
"5.086593","1434","Application Data [TCP segment of a reassembled PDU]"
"5.093712","1434","Application Data [TCP segment of a reassembled PDU]"
"5.093722","1434","Application Data, Application Data"
"5.093728","1434","Application Data [TCP segment of a reassembled PDU]"
"5.093740","1434","Application Data [TCP segment of a reassembled PDU]"
"5.093751","1434","Application Data [TCP segment of a reassembled PDU]"
"5.093763","1434","Application Data [TCP segment of a reassembled PDU]"
"5.093772","1434","Application Data [TCP segment of a reassembled PDU]"
"5.093784","1434","Application Data [TCP segment of a reassembled PDU]"
"5.093792","1434","Application Data [TCP segment of a reassembled PDU]"
"5.093801","1434","Application Data [TCP segment of a reassembled PDU]"
"5.095522","1434","Application Data, Application Data"
"5.095524","1434","Application Data [TCP segment of a reassembled PDU]"
"5.099895","1434","Application Data [TCP segment of a reassembled PDU]"
"5.099897","1434","Application Data [TCP segment of a reassembled PDU]"
"5.099898","1434","Application Data [TCP segment of a reassembled PDU]"
"5.099900","1434","Application Data [TCP segment of a reassembled PDU]"
"5.099900","1434","Application Data [TCP segment of a reassembled PDU]"
"5.099901","1434","Application Data [TCP segment of a reassembled PDU]"
"5.099902","1434","Application Data, Application Data"
"5.103696","1434","Application Data [TCP segment of a reassembled PDU]"
"5.108332","1434","Application Data [TCP segment of a reassembled PDU]"
"5.108338","1434","Application Data [TCP segment of a reassembled PDU]"
"5.108342","1434","Application Data [TCP segment of a reassembled PDU]"
"5.111940","1434","Application Data [TCP segment of a reassembled PDU]"
"5.111941","1434","Application Data [TCP segment of a reassembled PDU]"
"5.111942","1434","Application Data [TCP segment of a reassembled PDU]"
"5.111943","1434","Application Data [TCP segment of a reassembled PDU]"
"5.111944","1434","Application Data, Application Data"
"5.111945","1434","Application Data [TCP segment of a reassembled PDU]"
"5.111946","1434","Application Data [TCP segment of a reassembled PDU]"
"5.111947","1434","Application Data [TCP segment of a reassembled PDU]"
"5.111947","1434","Application Data [TCP segment of a reassembled PDU]"
"5.112657","1434","Application Data [TCP segment of a reassembled PDU]"
"5.112659","1434","Application Data [TCP segment of a reassembled PDU]"
"5.112659","1434","Application Data [TCP segment of a reassembled PDU]"
"5.113106","1434","Application Data, Application Data"
"5.117284","1434","Application Data [TCP segment of a reassembled PDU]"
"5.117286","1434","Application Data [TCP segment of a reassembled PDU]"
"5.117286","1434","Application Data [TCP segment of a reassembled PDU]"
"5.117288","1434","Application Data [TCP segment of a reassembled PDU]"
"5.117289","1434","Application Data [TCP segment of a reassembled PDU]"
"5.117290","1434","Application Data [TCP segment of a reassembled PDU]"
"5.117596","1434","Application Data [TCP segment of a reassembled PDU]"
"5.117929","1434","Application Data [TCP segment of a reassembled PDU]"
"5.124224","1434","443  >  51603 [ACK] Seq=116132 Ack=7709 Win=46592 Len=1380 [TCP segment of a reassembled PDU]"
"5.124225","1434","Application Data [TCP segment of a reassembled PDU]"
"5.124226","1434","Application Data [TCP segment of a reassembled PDU]"
"5.127253","1434","Application Data [TCP segment of a reassembled PDU]"
"5.127255","1434","Application Data [TCP segment of a reassembled PDU]"
"5.127255","1434","Application Data [TCP segment of a reassembled PDU]"
"5.127256","1434","Application Data [TCP segment of a reassembled PDU]"
"5.127257","1434","Application Data [TCP segment of a reassembled PDU]"
"5.127258","1434","Application Data [TCP segment of a reassembled PDU]"
"5.127259","1434","Application Data [TCP segment of a reassembled PDU]"
"5.127835","1434","443  >  51603 [ACK] Seq=129932 Ack=7709 Win=46592 Len=1380 [TCP segment of a reassembled PDU]"
"5.127836","1434","Application Data [TCP segment of a reassembled PDU]"
"5.134940","1434","Application Data [TCP segment of a reassembled PDU]"
"5.134942","1434","Application Data [TCP segment of a reassembled PDU]"
"5.134943","1434","Application Data [TCP segment of a reassembled PDU]"
"5.134945","1434","Application Data [TCP segment of a reassembled PDU]"
"5.134946","1434","Application Data [TCP segment of a reassembled PDU]"
"5.134947","1434","Application Data [TCP segment of a reassembled PDU]"
"5.134948","1434","Application Data [TCP segment of a reassembled PDU]"
"5.134948","1434","Application Data [TCP segment of a reassembled PDU]"
"5.134949","1434","Application Data [TCP segment of a reassembled PDU]"
"5.135357","1434","443  >  51603 [ACK] Seq=145112 Ack=7709 Win=46592 Len=1380 [TCP segment of a reassembled PDU]"
"5.139998","1434","Application Data [TCP segment of a reassembled PDU]"
"5.139999","1434","Application Data [TCP segment of a reassembled PDU]"
"5.140000","1434","Application Data [TCP segment of a reassembled PDU]"
"5.140003","1434","Application Data [TCP segment of a reassembled PDU]"
"5.144921","1434","Application Data [TCP segment of a reassembled PDU]"
"5.144922","1434","Application Data [TCP segment of a reassembled PDU]"
"5.144923","1434","Application Data [TCP segment of a reassembled PDU]"
"5.144927","1434","Application Data [TCP segment of a reassembled PDU]"
"5.144928","1434","Application Data [TCP segment of a reassembled PDU]"
"5.144929","1434","Application Data [TCP segment of a reassembled PDU]"
"5.144930","1434","443  >  51603 [ACK] Seq=160292 Ack=7709 Win=46592 Len=1380 [TCP segment of a reassembled PDU]"
"5.144931","1434","Application Data [TCP segment of a reassembled PDU]"
"5.144932","1434","Application Data [TCP segment of a reassembled PDU]"
"5.145834","1434","Application Data [TCP segment of a reassembled PDU]"
"5.145834","1434","Application Data [TCP segment of a reassembled PDU]"
"5.151722","1434","Application Data [TCP segment of a reassembled PDU]"
"5.152507","1434","Application Data [TCP segment of a reassembled PDU]"
"5.152508","1434","Application Data [TCP segment of a reassembled PDU]"
"5.152508","1434","Application Data [TCP segment of a reassembled PDU]"
"5.152510","1434","Application Data [TCP segment of a reassembled PDU]"
"5.152717","1434","Application Data"
"5.152718","1434","Application Data"
"5.152858","1434","Application Data [TCP segment of a reassembled PDU]"
"5.156832","1434","Application Data [TCP segment of a reassembled PDU]"
"5.156836","1434","443  >  51603 [ACK] Seq=179612 Ack=7709 Win=46592 Len=1380 [TCP segment of a reassembled PDU]"
"5.156846","1434","Application Data [TCP segment of a reassembled PDU]"
"5.156849","1434","Application Data [TCP segment of a reassembled PDU]"
"5.156852","1434","Application Data [TCP segment of a reassembled PDU]"
"5.156855","1434","Application Data [TCP segment of a reassembled PDU]"
"5.156858","1434","Application Data [TCP segment of a reassembled PDU]"
"5.156861","1434","Application Data [TCP segment of a reassembled PDU]"
"5.156863","1434","Application Data [TCP segment of a reassembled PDU]"
"5.156867","1434","Application Data [TCP segment of a reassembled PDU]"
"5.156870","1434","Application Data [TCP segment of a reassembled PDU]"
"5.156874","1434","443  >  51603 [ACK] Seq=193412 Ack=7709 Win=46592 Len=1380 [TCP segment of a reassembled PDU]"
"5.156878","1434","Application Data [TCP segment of a reassembled PDU]"
"5.156882","1434","Application Data [TCP segment of a reassembled PDU]"
"5.156886","1434","Application Data [TCP segment of a reassembled PDU]"
"5.160751","1434","Application Data [TCP segment of a reassembled PDU]"
"5.160753","1434","Application Data [TCP segment of a reassembled PDU]"
"5.160754","1434","Application Data [TCP segment of a reassembled PDU]"
"5.160756","1434","Application Data [TCP segment of a reassembled PDU]"
"5.160756","1434","Application Data [TCP segment of a reassembled PDU]"
"5.160758","1434","Application Data [TCP segment of a reassembled PDU]"
"5.160759","1434","Application Data [TCP segment of a reassembled PDU]"
"5.160760","1434","443  >  51603 [ACK] Seq=208592 Ack=7709 Win=46592 Len=1380 [TCP segment of a reassembled PDU]"
"5.160761","1434","Application Data [TCP segment of a reassembled PDU]"
"5.160762","1434","Application Data [TCP segment of a reassembled PDU]"
"5.160763","1434","Application Data [TCP segment of a reassembled PDU]"
"5.160764","1434","Application Data [TCP segment of a reassembled PDU]"
"5.160764","1434","Application Data [TCP segment of a reassembled PDU]"
"5.160765","1434","Application Data [TCP segment of a reassembled PDU]"
"5.160769","1434","Application Data [TCP segment of a reassembled PDU]"
