"Time","Length","Info"
"0.000000","1434","443  >  51405 [ACK] Seq=1 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"0.000260","110","Application Data"
"0.166368","1434","443  >  51405 [ACK] Seq=1437 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"0.166373","110","Application Data"
"0.311920","1434","443  >  51405 [ACK] Seq=2873 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"0.312087","110","Application Data"
"0.474914","1434","443  >  51405 [ACK] Seq=4309 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"0.475093","110","Application Data"
"0.673397","1434","443  >  51405 [ACK] Seq=5745 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"0.674037","110","Application Data"
"0.872385","1434","443  >  51405 [ACK] Seq=7181 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"0.872553","110","Application Data"
"1.034648","1434","443  >  51405 [ACK] Seq=8617 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"1.034649","110","Application Data"
"1.214969","1434","443  >  51405 [ACK] Seq=10053 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"1.214971","110","Application Data"
"1.357897","1434","443  >  51405 [ACK] Seq=11489 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"1.358073","110","Application Data"
"1.555152","1434","443  >  51405 [ACK] Seq=12925 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"1.555153","110","Application Data"
"1.755680","1434","443  >  51405 [ACK] Seq=14361 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"1.755681","110","Application Data"
"1.914656","1434","443  >  51405 [ACK] Seq=15797 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"1.914790","110","Application Data"
"2.075400","1434","443  >  51405 [ACK] Seq=17233 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"2.075401","110","Application Data"
"2.273160","1434","443  >  51405 [ACK] Seq=18669 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"2.273161","110","Application Data"
"2.432085","1434","443  >  51405 [ACK] Seq=20105 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"2.432086","110","Application Data"
"2.640002","1434","443  >  51405 [ACK] Seq=21541 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"2.640357","110","Application Data"
"2.766882","1434","443  >  51405 [ACK] Seq=22977 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"2.768655","110","Application Data"
"2.956279","1434","443  >  51405 [ACK] Seq=24413 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"2.956448","110","Application Data"
"3.155006","1434","443  >  51405 [ACK] Seq=25849 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"3.155204","110","Application Data"
"3.313787","1434","443  >  51405 [ACK] Seq=27285 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"3.313957","110","Application Data"
"3.513558","1434","443  >  51405 [ACK] Seq=28721 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"3.513816","110","Application Data"
"3.637300","1434","443  >  51405 [ACK] Seq=30157 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"3.637301","110","Application Data"
